,year,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,other_renewable_electricity,nuclear_electricity,electricity_generation,total_renewable_electricity,total_fossil_electricity,total_low_carbon_electricity,fossil_share_of_generation,renewable_share_of_generation,low_carbon_share_of_generation
0,1985,3748.385,1426.332,1110.757,0.012,0.064,1979.244,0.0,78.703,1488.922,9886.064,2058.023,6285.474,3546.945,0.6357913523521596,0.20817415302996217,0.3587823222669811
1,1986,3839.01,1432.692,1168.273,0.015,0.139,2006.073,0.0,85.443,1594.736,10180.79,2091.67,6439.975,3686.406,0.6325614220507446,0.20545262204602982,0.3620942972009048
2,1987,4058.077,1516.51,1183.175,0.011,0.195,2033.192,0.0,91.516,1734.733,10670.628,2124.9139999999998,6757.762000000001,3859.647,0.6333049938579061,0.19913673309574653,0.361707577098555
3,1988,4200.674,1540.98,1256.525,0.01,0.332,2098.349,0.0,94.161,1891.249,11140.627,2192.8520000000003,6998.179,4084.1010000000006,0.6281674272013594,0.19683380477597898,0.3665952553657887
4,1989,4376.982,1728.554,1350.2,0.262,2.65,2087.587,0.0,104.672,1945.011,11657.959,2195.171,7455.736,4140.182,0.6395404204114974,0.18829805457370366,0.35513780756991853
5,1990,4460.242,1788.729,1366.023,0.388,3.632,2158.619,0.0,117.224,2000.596,11961.343,2279.8630000000003,7614.994000000001,4280.459000000001,0.6366336957313238,0.19060259370540583,0.35785772550791334
6,1991,4557.066,1814.147,1351.379,0.505,4.086,2208.542,0.0,122.263,2096.31,12222.45,2335.3959999999997,7722.592,4431.706,0.6318366612258589,0.19107429361543712,0.3625873699626507
7,1992,4649.81,1828.429,1329.644,0.467,4.733,2208.314,0.0,131.16,2112.223,12336.336,2344.6739999999995,7807.883000000001,4456.896999999999,0.6329175048409836,0.19006243020618113,0.3612820694896766
8,1993,4727.774,1862.431,1268.48,0.557,5.704,2341.319,0.0,135.481,2184.965,12599.859,2483.0609999999997,7858.6849999999995,4668.026,0.6237121383659928,0.19707053864650387,0.37048239984272835
9,1994,4891.716,1923.732,1303.714,0.597,7.132,2355.905,0.0,140.677,2225.979,12923.506,2504.311,8119.162,4730.29,0.628247628778135,0.1937795362961104,0.36602219242982514
10,1995,5038.72,2034.873,1261.73,0.639,8.272,2483.388,0.0,146.642,2322.53,13381.801,2638.941,8335.323,4961.471,0.6228849913401044,0.19720372467054323,0.3707625752318391
11,1996,5279.495,2100.145,1247.382,0.699,9.216,2516.815,0.0,150.704,2406.615,13797.09,2677.434,8627.021999999999,5084.049,0.6252783739179782,0.19405787742197814,0.3684870505302205
12,1997,5395.633,2270.331,1245.219,0.75,12.028,2561.356,0.0,161.412,2390.064,14128.537,2735.546,8911.183,5125.61,0.6307222750664135,0.19361849001067838,0.36278420051559473
13,1998,5511.211,2407.846,1295.477,0.812,15.929,2580.934,0.0,168.217,2431.195,14510.952,2765.8920000000003,9214.534000000001,5197.087,0.6350054772422927,0.19060720482019378,0.3581492792478399
14,1999,5630.671,2600.207,1267.856,0.905,21.227,2600.469,0.0,176.648,2523.706,14926.2,2799.2490000000003,9498.734,5322.955,0.6363799225522906,0.1875392933231499,0.3566182283501494
15,2000,5808.81,2745.57,1323.96,1.03,31.14,2629.63,154.44,198.09,2540.46,15278.69,3014.3300000000004,9878.34,5554.790000000001,0.6465436500118793,0.19728982000420195,0.36356454643690006
16,2001,5890.67,2914.78,1284.72,1.37,38.18,2563.66,149.72,193.87,2613.17,15500.42,2946.7999999999997,10090.17,5559.969999999999,0.6509610707322769,0.19011097763802529,0.3586980223761678
17,2002,6144.3,3104.81,1271.49,1.71,52.22,2611.51,162.96,208.79,2654.78,16049.61,3037.19,10520.6,5691.97,0.6555050247326882,0.18923762010416453,0.3546484930163412
18,2003,6574.95,3255.5,1295.92,2.1,63.19,2611.9,176.51,223.12,2601.05,16627.73,3076.8199999999997,11126.37,5677.87,0.6691454576180874,0.18504149393813826,0.34146994207868425
19,2004,6797.3,3503.08,1263.28,2.78,85.46,2802.55,192.54,240.8,2719.41,17414.66,3324.13,11563.660000000002,6043.54,0.6640187060786717,0.1908811311848753,0.34703749599475386
20,2005,7167.21,3680.54,1277.64,3.94,104.38,2911.71,212.86,261.45,2726.97,18133.84,3494.34,12125.39,6221.3099999999995,0.6686609124156825,0.19269718934323896,0.34307736254428184
21,2006,7566.97,3900.59,1175.8,5.41,133.17,3018.02,226.7,277.46,2761.59,18839.01,3660.7599999999998,12643.36,6422.35,0.6711265613214283,0.19431806660753406,0.34090697971921036
22,2007,8051.83,4219.27,1196.17,7.28,171.12,3062.72,249.26,302.07,2703.49,19713.949,3792.4500000000003,13467.27,6495.9400000000005,0.6831340590360663,0.19237393786501122,0.32950983083095126
23,2008,8074.84,4361.06,1171.0,11.84,220.81,3245.28,266.33,322.92,2694.72,20102.471,4067.1800000000003,13606.900000000001,6761.9,0.6768769869136984,0.20232239111301292,0.3363715833740041
24,2009,7951.84,4382.27,1070.21,19.81,276.22,3241.2,287.55,346.21,2656.76,19944.52,4170.99,13404.32,6827.75,0.6720803508933783,0.2091296255813627,0.3423371432353348
25,2010,8459.14,4807.53,1077.88,32.21,345.93,3428.15,328.22,387.93,2725.91,21264.68,4522.4400000000005,14344.55,7248.35,0.6745716370996412,0.21267378582701457,0.3408633471089149
26,2011,8911.1,4866.06,1186.63,63.61,439.9,3488.0,346.87,407.95,2610.34,21973.59,4746.33,14963.79,7356.67,0.6809897699920678,0.2160015727971624,0.33479599828703455
27,2012,8961.01,5160.87,1238.37,96.98,529.19,3660.09,377.56,440.39,2432.22,22519.119,5104.210000000001,15360.25,7536.43,0.6820981762208371,0.22666117622097035,0.3346680658333037
28,2013,9424.99,5057.63,1196.47,131.95,634.06,3790.72,411.5,475.82,2448.52,23160.16,5444.049999999999,15679.089999999998,7892.57,0.6769853921561854,0.2350609840346526,0.3407821880332433
29,2014,9601.04,5217.11,1143.5,197.75,706.02,3870.65,446.31,515.84,2498.73,23750.641,5736.570000000001,15961.650000000001,8235.300000000001,0.6720513353723802,0.24153327061783303,0.34674011535099203
30,2015,9281.28,5542.13,1133.61,255.87,829.52,3881.76,484.53,557.61,2532.93,24014.711,6009.289999999999,15957.02,8542.22,0.6644685418033971,0.25023370050133015,0.35570779927353696
31,2016,9325.3,5852.3,1085.64,328.14,960.2,4014.6,490.06,565.93,2571.05,24703.16,6358.930000000001,16263.239999999998,8929.980000000001,0.6583465435191287,0.25741362643483673,0.3614914043385543
32,2017,9649.94,5978.13,994.62,445.16,1139.31,4053.88,517.8,596.62,2594.23,25451.891,6752.77,16622.69,9347.0,0.6531023569132839,0.265315060480182,0.36724186819753396
33,2018,10028.19,6229.08,909.06,574.03,1268.0,4176.91,547.05,628.76,2658.7,26472.73,7194.75,17166.33,9853.45,0.6484533329203298,0.2717796766710498,0.3722113284122945
34,2019,9821.41,6405.51,854.82,704.4,1420.8,4228.71,579.15,662.1,2754.08,26851.83,7595.16,17081.74,10349.24,0.6361480763136069,0.2828544646677712,0.3854202860661638
35,2020,9437.11,6386.34,775.3,855.23,1591.37,4347.86,615.21,701.33,2648.37,26742.91,8110.999999999999,16598.75,10759.369999999999,0.6206785275050472,0.3032953407089954,0.4023260744623528
36,2021,10154.13,6546.18,855.07,1053.49,1856.65,4287.9,669.27,755.6,2762.24,28271.26,8622.91,17555.379999999997,11385.15,0.6209620653624918,0.3050062147919831,0.4027110924663422
37,2022,10263.17,6606.91,886.49,1329.69,2106.93,4321.15,684.83,772.74,2639.85,28926.93,9215.34,17756.570000000003,11855.19,0.61384218788513,0.31857303903317774,0.4098322912248206
38,2023,10452.92,6684.39,865.46,1656.72,2312.13,4234.3,691.07,779.99,2699.03,29684.939,9674.210000000001,18002.77,12373.240000000002,0.6064614112900822,0.32589623984068156,0.4168187780342079
39,2024,10587.47,6795.95,857.48,2130.64,2497.25,4418.96,712.16,800.92,2764.67,30853.34,10559.929999999998,18240.899999999998,13324.599999999999,0.5912131393230036,0.34226213434266756,0.43186896459183993
